epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,7938.55,0.80574,0.30554,0.77545,0.95481,0.79611,0.85608,0.60976,1.00426,0.34399,0.79749,0.00498813,0.00498813,0.00498813
83,8031.57,0.80323,0.30401,0.77503,0.9612,0.79454,0.8583,0.61002,1.0021,0.3407,0.79739,0.00492625,0.00492625,0.00492625
84,8132.02,0.80076,0.3043,0.77566,0.97059,0.79064,0.85638,0.61008,1.00307,0.34052,0.79721,0.00486437,0.00486437,0.00486437
85,8231.27,0.786,0.29925,0.77583,0.97284,0.79119,0.8597,0.61198,1.00247,0.33926,0.7974,0.0048025,0.0048025,0.0048025
86,8333.68,0.79612,0.30256,0.77555,0.95955,0.79489,0.85688,0.61147,1.00611,0.34034,0.79761,0.00474063,0.00474063,0.00474063
87,8430.9,0.79216,0.30111,0.77449,0.95793,0.79439,0.85771,0.61073,1.00136,0.34102,0.79715,0.00467875,0.00467875,0.00467875
88,8529.09,0.78107,0.29814,0.77496,0.96486,0.7886,0.85527,0.61055,0.99852,0.33844,0.79737,0.00461688,0.00461688,0.00461688
89,8633.1,0.77359,0.29601,0.7743,0.96009,0.79317,0.85654,0.61525,1.00035,0.34145,0.79696,0.004555,0.004555,0.004555
90,8732,0.78102,0.29722,0.77492,0.95004,0.79379,0.85608,0.61327,0.99273,0.33699,0.7967,0.00449312,0.00449312,0.00449312
91,8820.91,0.77447,0.29543,0.7744,0.94914,0.79625,0.85709,0.61838,0.99096,0.33625,0.79654,0.00443125,0.00443125,0.00443125
92,8911,0.76314,0.29201,0.77552,0.97501,0.7856,0.86057,0.61973,0.99337,0.33538,0.79648,0.00436938,0.00436938,0.00436938
93,9002.57,0.76204,0.29281,0.77524,0.96599,0.78847,0.86408,0.61788,0.99378,0.33499,0.79643,0.0043075,0.0043075,0.0043075
94,9091.89,0.76863,0.29351,0.77385,0.95354,0.79305,0.86056,0.6169,0.99112,0.33468,0.79607,0.00424562,0.00424562,0.00424562
95,9180.98,0.76147,0.29029,0.77464,0.96735,0.78856,0.85912,0.61576,0.98885,0.33368,0.79589,0.00418375,0.00418375,0.00418375
96,9269.86,0.75245,0.28847,0.77454,0.97218,0.78921,0.8593,0.61563,0.98361,0.33199,0.79567,0.00412187,0.00412187,0.00412187
97,9357.49,0.75457,0.28886,0.77332,0.9737,0.78579,0.8584,0.61668,0.98447,0.33165,0.79546,0.00406,0.00406,0.00406
98,9441.53,0.76436,0.28981,0.77252,0.95733,0.78871,0.86054,0.61758,0.9841,0.33186,0.79546,0.00399813,0.00399813,0.00399813
99,9533.2,0.76323,0.29116,0.77263,0.95615,0.79219,0.85693,0.61444,0.9853,0.33314,0.79549,0.00393625,0.00393625,0.00393625
100,9636.67,0.75127,0.28622,0.77335,0.96396,0.79061,0.85661,0.61594,0.98371,0.33253,0.79529,0.00387437,0.00387437,0.00387437
101,9739.48,0.7436,0.2845,0.77331,0.95793,0.79344,0.85772,0.61716,0.98346,0.33193,0.79517,0.0038125,0.0038125,0.0038125
102,9840.25,0.75267,0.28687,0.77275,0.94913,0.79683,0.85925,0.61596,0.9811,0.33229,0.79485,0.00375063,0.00375063,0.00375063
103,9938.56,0.74901,0.28583,0.77184,0.95805,0.79588,0.86017,0.61772,0.98154,0.33333,0.79477,0.00368875,0.00368875,0.00368875
104,10033.2,0.75553,0.2866,0.77109,0.96407,0.79265,0.85908,0.61896,0.98233,0.3326,0.79456,0.00362687,0.00362687,0.00362687
105,10135.4,0.74413,0.28415,0.77293,0.96397,0.79201,0.85889,0.61924,0.97842,0.3317,0.79438,0.003565,0.003565,0.003565
106,10226.7,0.73743,0.28086,0.772,0.96715,0.79187,0.85878,0.6232,0.9784,0.33039,0.79426,0.00350313,0.00350313,0.00350313
107,10310.9,0.7426,0.28326,0.77116,0.96546,0.79128,0.85926,0.62301,0.9764,0.32973,0.79418,0.00344125,0.00344125,0.00344125
108,10394.6,0.7513,0.28443,0.76987,0.96977,0.793,0.85931,0.62289,0.9772,0.32955,0.79407,0.00337938,0.00337938,0.00337938
